produto,ano_mes,volume,ano,mes
Placas / Slabs,2013_set,382.671,2013,set
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_set,51.299,2013,set
Total (Mil t / Thousand Tonnes),2013_set,632.668,2013,set
(US$ Milhões / US$ Millions),2013_set,416.662,2013,set
Laminados / Rolled Products,2013_set,362.24199999999996,2013,set
Planos / Flat Products,2013_set,225.803,2013,set
Longos / Long Products,2013_set,136.439,2013,set
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_set,1.736,2013,set
Total (Mil t / Thousand Tonnes),2013_set,363.97799999999995,2013,set
(US$ Milhões / US$ Millions),2013_set,368.161,2013,set
Consumo Aparente / Apparent Consumption (***),2013_set,2470.893,2013,set
"Planos / Flat Products
(Inclui Placas / Included Slabs)",2013_set,1436.087,2013,set
"Longos / Long Products
(Inclui Blocos e Tarugos / Included Ingots, Blooms and Billets)",2013_set,1034.806,2013,set
Aço Bruto / Crude Steel,2013_out,2980.32,2013,out
Laminados / Rolled Products (*),2013_out,2309.355,2013,out
Planos / Flat Products,2013_out,1321.82,2013,out
Longos / Long Products,2013_out,987.535,2013,out
"Semiacabados P/ Vendas /
Semifinished Products for Sale (*)",2013_out,457.783,2013,out
Placas / Slabs,2013_out,387.633,2013,out
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_out,70.15,2013,out
Ferro-Gusa / Pig Iron,2013_out,2247.802,2013,out
Vendas Internas / Domestic Sales (*),2013_out,2140.9469999999997,2013,out
Laminados / Rolled Products,2013_out,2085.0969999999998,2013,out
Planos / Flat Products,2013_out,1174.449,2013,out
Longos / Long Products,2013_out,910.6479999999999,2013,out
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_out,55.849999999999994,2013,out
Placas / Slabs,2013_out,27.578,2013,out
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_out,28.272,2013,out
Vendas Externas / Foreign Market (**),2013_out,543.213,2013,out
Laminados / Rolled Products,2013_out,147.677,2013,out
Planos / Flat Products,2013_out,64.469,2013,out
Longos / Long Products,2013_out,83.208,2013,out
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_out,395.536,2013,out
Placas / Slabs,2013_out,375.146,2013,out
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_out,20.39,2013,out
Laminados / Rolled Products,2013_out,188.574,2013,out
